SHP_ADM_CD,CSV_ADMI_CD,GU_NM,DONG_NM
11120720,11380530,은평구,불광2동
11120730,11380600,은평구,응암3동
11120740,11380625,은평구,역촌동
11130520,11410520,서대문구,천연동
11130620,11410620,서대문구,홍제1동
11130640,11410640,서대문구,홍제3동
11130650,11410655,서대문구,홍제2동
11130660,11410660,서대문구,홍은1동
11130680,11410685,서대문구,홍은2동
11130690,11410690,서대문구,남가좌1동
11130700,11410700,서대문구,남가좌2동
11130710,11410710,서대문구,북가좌1동
11130720,11410720,서대문구,북가좌2동
11130730,11410565,서대문구,충현동
11130740,11410555,서대문구,북아현동
11130750,11410585,서대문구,신촌동
11130760,11410615,서대문구,연희동
11140590,11440590,마포구,용강동
11140600,11440600,마포구,대흥동
11140610,11440610,마포구,염리동
11140630,11440630,마포구,신수동
11140660,11440660,마포구,서교동
11140680,11440680,마포구,합정동
11140690,11440690,마포구,망원1동
11140700,11440700,마포구,망원2동
11140710,11440710,마포구,연남동
11140720,11440720,마포구,성산1동
11140730,11440730,마포구,성산2동
11140740,11440740,마포구,상암동
11140750,11440585,마포구,도화동
11140760,11440655,마포구,서강동
11140770,11440565,마포구,공덕동
11140780,11440555,마포구,아현동
11150510,11470510,양천구,목1동
11150520,11470520,양천구,목2동
11150530,11470530,양천구,목3동
11150540,11470540,양천구,목4동
11150570,11470560,양천구,신월1동
11150580,11470570,양천구,신월2동
11150590,11470580,양천구,신월3동
11150600,11470590,양천구,신월4동
11150610,11470600,양천구,신월5동
11150620,11470610,양천구,신월6동
11150630,11470611,양천구,신월7동
11150640,11470620,양천구,신정1동
11150650,11470630,양천구,신정2동
11150660,11470640,양천구,신정3동
11150690,11470670,양천구,신정6동
11150700,11470680,양천구,신정7동
11150710,11470550,양천구,목5동
11150720,11470650,양천구,신정4동
11160510,11500510,강서구,염창동
11160520,11500520,강서구,등촌1동
11160530,11500530,강서구,등촌2동
11160540,11500535,강서구,등촌3동
11160550,11500590,강서구,화곡본동
11160570,11500550,강서구,화곡2동
11160580,11500560,강서구,화곡3동
11160590,11500570,강서구,화곡4동
11160610,11500591,강서구,화곡6동
11160630,11500593,강서구,화곡8동
11160650,11500604,강서구,가양2동
11160660,11500605,강서구,가양3동
11160670,11500611,강서구,발산1동
11160690,11500620,강서구,공항동
11160700,11500630,강서구,방화1동
11160710,11500640,강서구,방화2동
11160730,11500540,강서구,화곡1동
11160740,11500615,강서구,우장산동
11160751,11500603,강서구,가양1동
11160761,11500641,강서구,방화3동
11170510,11530510,구로구,신도림동
11170520,11530520,구로구,구로1동
11170540,11530540,구로구,구로3동
11170550,11530550,구로구,구로4동
11170560,11530560,구로구,구로5동
11170610,11530720,구로구,고척1동
11170620,11530730,구로구,고척2동
11170640,11530750,구로구,개봉2동
11170650,11530760,구로구,개봉3동
11170670,11530770,구로구,오류1동
11170690,11530790,구로구,수궁동
11170700,11530595,구로구,가리봉동
11170710,11530530,구로구,구로2동
11170720,11530740,구로구,개봉1동
11170730,11530780,구로구,오류2동
11170740,11530800,구로구,항동
11180510,11545510,금천구,가산동
11180520,11545610,금천구,독산1동
11180530,11545620,금천구,독산2동
11180540,11545630,금천구,독산3동
11180550,11545640,금천구,독산4동
11180570,11545670,금천구,시흥1동
11180580,11545680,금천구,시흥2동
11180590,11545690,금천구,시흥3동
11180600,11545700,금천구,시흥4동
11180610,11545710,금천구,시흥5동
11190540,11560540,영등포구,여의동
11190550,11560550,영등포구,당산1동
11190560,11560560,영등포구,당산2동
11190610,11560610,영등포구,양평1동
11190620,11560620,영등포구,양평2동
11190630,11560630,영등포구,신길1동
11190650,11560650,영등포구,신길3동
11190660,11560660,영등포구,신길4동
11190670,11560670,영등포구,신길5동
11190680,11560680,영등포구,신길6동
11190690,11560690,영등포구,신길7동
11190700,11560700,영등포구,대림1동
11190710,11560710,영등포구,대림2동
11190720,11560720,영등포구,대림3동
11190730,11560515,영등포구,영등포본동
11190740,11560535,영등포구,영등포동
11190750,11560585,영등포구,도림동
11190760,11560605,영등포구,문래동
11200520,11590520,동작구,노량진2동
11200530,11590530,동작구,상도1동
11200540,11590540,동작구,상도2동
11200550,11590550,동작구,상도3동
11200560,11590560,동작구,상도4동
11200630,11590620,동작구,사당1동
11200650,11590640,동작구,사당3동
11200660,11590650,동작구,사당4동
11200670,11590651,동작구,사당5동
11200680,11590660,동작구,대방동
11200690,11590670,동작구,신대방1동
11200700,11590680,동작구,신대방2동
11200710,11590605,동작구,흑석동
11200720,11590510,동작구,노량진1동
11200730,11590630,동작구,사당2동
11210520,11620525,관악구,보라매동
11210540,11620545,관악구,청림동
11210570,11620575,관악구,행운동
11210580,11620585,관악구,낙성대동
11210610,11620615,관악구,중앙동
11210620,11620625,관악구,인헌동
11210630,11620630,관악구,남현동
11210640,11620645,관악구,서원동
11210650,11620655,관악구,신원동
11210660,11620665,관악구,서림동
11210680,11620685,관악구,신사동
11210690,11620695,관악구,신림동
11210710,11620715,관악구,난향동
11210720,11620725,관악구,조원동
11210730,11620735,관악구,대학동
11210780,11620605,관악구,은천동
11210790,11620565,관악구,성현동
11210800,11620595,관악구,청룡동
11210810,11620775,관악구,난곡동
11210820,11620745,관악구,삼성동
11210830,11620765,관악구,미성동
11220510,11650510,서초구,서초1동
11220520,11650520,서초구,서초2동
11220530,11650530,서초구,서초3동
11220540,11650531,서초구,서초4동
11220550,11650540,서초구,잠원동
11220560,11650550,서초구,반포본동
11220570,11650560,서초구,반포1동
11220580,11650570,서초구,반포2동
11220590,11650580,서초구,반포3동
11220600,11650581,서초구,반포4동
11220610,11650590,서초구,방배본동
11220620,11650600,서초구,방배1동
11220630,11650610,서초구,방배2동
11220640,11650620,서초구,방배3동
11220650,11650621,서초구,방배4동
11220660,11650651,서초구,양재1동
11220670,11650652,서초구,양재2동
11220680,11650660,서초구,내곡동
11230510,11680510,강남구,신사동
11230511,11680675,강남구,개포3동
11230520,11680521,강남구,논현1동
11230530,11680531,강남구,논현2동
11230580,11680580,강남구,삼성1동
11230590,11680590,강남구,삼성2동
11230600,11680600,강남구,대치1동
11230630,11680630,강남구,대치4동
11230640,11680640,강남구,역삼1동
11230650,11680650,강남구,역삼2동
11230660,11680655,강남구,도곡1동
11230670,11680656,강남구,도곡2동
11230680,11680660,강남구,개포1동
11230710,11680690,강남구,개포4동
11230720,11680720,강남구,일원본동
11230730,11680730,강남구,일원1동
11230750,11680750,강남구,수서동
11230760,11680700,강남구,세곡동
11230770,11680545,강남구,압구정동
11230780,11680565,강남구,청담동
11230790,11680610,강남구,대치2동
11230800,11680670,강남구,개포2동
11240510,11710510,송파구,풍납1동
11240520,11710520,송파구,풍납2동
11240530,11710531,송파구,거여1동
11240540,11710532,송파구,거여2동
11240550,11710540,송파구,마천1동
11240560,11710550,송파구,마천2동
11240570,11710561,송파구,방이1동
11240580,11710562,송파구,방이2동
11240590,11710566,송파구,오륜동
11240600,11710570,송파구,오금동
11240610,11710580,송파구,송파1동
11240620,11710590,송파구,송파2동
11240630,11710600,송파구,석촌동
11240640,11710610,송파구,삼전동
11240650,11710620,송파구,가락본동
11240660,11710631,송파구,가락1동
11240670,11710632,송파구,가락2동
11240680,11710641,송파구,문정1동
11240690,11710642,송파구,문정2동
11240710,11710650,송파구,잠실본동
11240750,11710690,송파구,잠실4동
11240770,11710710,송파구,잠실6동
11240780,11710720,송파구,잠실7동
11240790,11710670,송파구,잠실2동
11240800,11710680,송파구,잠실3동
11240810,11710646,송파구,장지동
11240820,11710647,송파구,위례동
11250530,11740530,강동구,명일1동
11250540,11740540,강동구,명일2동
11250550,11740550,강동구,고덕1동
11250560,11740560,강동구,고덕2동
11250580,11740580,강동구,암사2동
11250590,11740590,강동구,암사3동
11250610,11740600,강동구,천호1동
11250630,11740620,강동구,천호3동
11250650,11740640,강동구,성내1동
11250660,11740650,강동구,성내2동
11250670,11740660,강동구,성내3동
11250700,11740690,강동구,둔촌1동
11250710,11740700,강동구,둔촌2동
11250720,11740570,강동구,암사1동
11250730,11740610,강동구,천호2동
11250740,11740685,강동구,길동
11250750,11740515,강동구,강일동
11250760,11740525,강동구,상일1동
11250770,11740526,강동구,상일2동
